date,site,observer,start_time,end_time,tide_height_at_sampling_time,effective_tide_height,scientific_name,description,life_stage,disease_status,size_class,count,entered_by,checked_by,notes
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,0,100,1,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,0,110,1,GSB,TF,coded as 1 in the field - but further evaluation suggested that reproduction and level 1 wasting were confounded.
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,0,NA,370,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,0,NA,537,GSB,TF,coded as 1 in the field - but further evaluation suggested that reproduction and level 1 wasting were confounded.
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,1,NA,63,GSB,TF,coded as 2 in the field - but further evaluation suggested that our criteria for 2 matches level 1 wasting
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,3,NA,8,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Adult,4,NA,1,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Juvenile,0,10,3,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Juvenile,0,20,47,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Juvenile,0,20,3,GSB,TF,coded as 1 in the field - but further evaluation suggested that reproduction and level 1 wasting were confounded.
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Juvenile,1,20,2,GSB,TF,coded as 2 in the field - but further evaluation suggested that our criteria for 2 matches level 1 wasting
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Juvenile,0,30,26,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Juvenile,0,30,2,GSB,TF,coded as 1 in the field - but further evaluation suggested that reproduction and level 1 wasting were confounded.
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Juvenile,0,NA,325,GSB,TF,NA
2018-05-20,Fifth Beach,KH/ZM/GSB/KB/DVM/AG,10:40:00,12:00:00,0.6,NA,Pisaster ochraceus,Ochre star,Juvenile,0,NA,47,GSB,TF,coded as 1 in the field - but further evaluation suggested that reproduction and level 1 wasting were confounded.
